0.079922,30749981.231701,203169,2457600
0.092643,26527638.353680,228730,2457600
0.094066,26126336.827334,228000,2457600
0.085018,28906819.732292,179907,2457600
0.079028,31097838.740699,202852,2457600
0.103773,23682460.755688,248000,2457600
0.743635,33048471.360278,1750719,24576000
0.774270,31740865.589523,1844000,24576000
0.680422,36118761.592071,1658486,24576000
0.872717,28160331.470568,1980000,24576000
0.674924,36412988.721693,1614028,24576000
0.944795,26011992.019433,2105096,24576000
0.792755,31000750.547143,1845923,24576000
0.678465,36222944.440760,1616662,24576000
0.658964,37294905.336255,1601655,24576000
0.657546,37375331.915942,1561091,24576000
0.677299,36285303.831838,1625028,24576000
0.668333,36772088.165630,1627588,24576000
0.003171,7750236.518448,4005,24576
0.002666,9218304.576144,4000,24576
0.003371,7290418.273509,4197,24576
0.016078,1528548.326906,41585,24576
0.003354,7327370.304114,4317,24576
0.003291,7467639.015497,4386,24576
0.003077,7987000.324992,3840,24576
0.015771,1558303.214761,42669,24576
0.002753,8926988.739557,3788,24576
0.003741,6569366.479551,4888,24576
0.003720,6606451.612903,4674,24576
0.003511,6999715.180860,4307,24576
0.003085,7966288.492707,3883,24576
0.003063,8023506.366308,3815,24576
0.004000,6144000.000000,4000,24576
0.004000,6144000.000000,4000,24576
0.005333,4608288.018001,8000,24576
0.004000,6144000.000000,4000,24576
0.004000,6144000.000000,4000,24576
0.002666,9218304.576144,4000,24576
0.004000,6144000.000000,8000,24576
0.002666,9218304.576144,4000,24576
0.856189,28703942.704239,1927609,24576000
0.763876,32172761.024041,1776000,24576000
0.100178,24532332.448242,257492,2457600
0.091352,26902530.869603,219551,2457600
0.072513,33891853.874478,189928,2457600
0.089960,27318808.359271,228000,2457600
0.081920,30000000.000000,212000,2457600
0.090240,27234042.553191,224000,2457600
0.079264,31005248.284215,163980,2457600
0.084381,29125039.997156,182143,2457600
0.075688,32470140.577106,161486,2457600
0.101717,24161153.002940,222315,2457600
0.093022,26419556.664015,224656,2457600
0.092238,26644116.307812,221401,2457600
0.083553,29413665.577538,203662,2457600
0.093792,26202661.207779,229876,2457600
0.091946,26728732.081874,224000,2457600
0.098773,24881293.470888,240000,2457600
0.084600,29049645.390071,216000,2457600
0.115453,21286584.151126,260000,2457600
0.079813,30791976.244471,212000,2457600
0.080186,30648741.675604,212000,2457600
0.079894,30760758.004356,205335,2457600
0.075384,32601082.457816,197278,2457600
0.075770,32435000.659892,194479,2457600
0.098520,24945188.794153,236000,2457600
0.081493,30157191.415214,216000,2457600
0.079853,30776551.914142,216000,2457600
0.082466,29801372.686926,212000,2457600
0.089882,27342515.742863,205889,2457600
0.078641,31250874.225913,202896,2457600
0.102490,23978924.773149,221853,2457600
0.075055,32743987.742322,190746,2457600
0.087466,28097775.135481,216000,2457600
0.079449,30933051.391459,205020,2457600
0.079668,30848019.280012,196523,2457600
0.083986,29262019.860453,216000,2457600
0.075125,32713477.537438,200639,2457600
0.070638,34791472.012231,191057,2457600
0.084706,29013293.037093,224000,2457600
0.073710,33341473.341473,160820,2457600
0.092056,26696793.256279,226526,2457600
0.101906,24116342.511726,248000,2457600
0.075014,32761884.448236,163213,2457600
0.072937,33694832.526701,198307,2457600
0.085706,28674771.894616,216000,2457600
0.075469,32564364.176019,161246,2457600
0.085395,28779202.529422,207365,2457600
0.101400,24236686.390533,248000,2457600
0.663294,37051443.251409,1584135,24576000
0.762008,32251629.904148,1812000,24576000
0.717602,34247396.188974,1735748,24576000
0.750356,32752453.502071,1760000,24576000
0.765080,32122131.018978,1731166,24576000
0.760316,32323402.374802,1796000,24576000
0.673131,36509980.969529,1603881,24576000
0.784046,31345099.649765,1840000,24576000
0.920272,26705148.043187,2030681,24576000
0.767122,32036625.204335,1824000,24576000
